target_id	length	eff_length	est_counts	tpm
NR_046233	13400	20285.5	160.255	1.33395
NR_003279	4730	6208.72	8495.91	231.059
NR_003280	157	24.3747	96.8074	670.633
NR_015516	1571	1598.96	17.9772	1.89845
NM_010646	870	617.743	0	0
NM_001005418	336	127.395	0	0
NM_009485	3045	2792.66	0	0
NM_026939	1663	1710.77	24	2.36883
NM_001100416	2592	1722.01	38.0941	3.73539
NM_011093	1838	1585.66	0	0
NM_023566	7368	7115.66	0	0
NR_102721	1452	1199.66	0	0
NM_024470	942	689.706	0	0
NR_137283	2414	1946.61	1.59959	0.138754
NM_001346422	3729	3476.66	0	0
NM_001033256	2326	2400.65	39	2.74315
NM_053251	1027	774.663	0	0
NR_002845	2001	1748.66	0	0
NR_003518	2866	3099.25	100.133	5.45553
NM_001004145	2870	2617.66	0	0
NM_053154	1119	866.663	0	0
NM_013794	1234	772.908	1	0.218467
NR_151500	1002	749.663	0	0
NM_001030293	4542	4289.66	0	0
NM_134105	1233	1077.81	4.22166	0.661386
NR_152187	2964	2711.66	0	0
NR_152263	1071	1077.16	1	0.156759
NM_207535	918	665.706	0	0
NM_207534	864	611.743	0	0
NM_007852	282	91.174	0	0
NM_011954	869	616.743	0	0
NM_172505	2214	2174.04	14.1436	1.09851
NR_153818	1059	894.961	1	0.188673
NR_153811	1427	1174.66	0	0
NR_153412	4214	4580.68	239.605	8.83245
NM_001289428	3434	3132.92	54.5028	2.93755
NR_154462	2320	2210.44	2	0.15278
NR_004857	799	546.894	0	0
NM_172776	2269	2016.66	0	0
NM_001347175	3475	3682.75	24.785	1.1364
NM_001361386	4080	4297.83	27.2482	1.07054
NM_001347067	4129	4420.42	2.8639e-07	1.09398e-08
NM_001347238	1853	1600.66	0	0
NM_030035	11025	9745.76	317	5.49235
NM_001356388	3524	3282.14	28.345	1.45826
NM_001177538	2146	2125.02	0.666667	0.0529737
NM_001039239	3114	2205.03	14.4161	1.10394
NM_001177539	2146	2125.02	0.666667	0.0529737
NM_001024706	1004	751.663	0	0
NM_001361637	857	604.743	0	0
NM_001242945	2008	1509.54	3.83426	0.428894
NM_001024714	983	730.685	0	0
NM_001081406	1503	1250.66	0	0
NR_154591	2853	2956.46	21.4828	1.22697
NR_154887	1410	1157.66	0	0
NR_154886	1414	1534.25	0	0
NR_154985	5242	4989.66	0	0
NR_154990	720	327.036	3.56008	1.83814
NR_154992	1737	1942.99	1	0.0869047
NR_155067	4696	4388.33	0	0
NR_155034	2502	2452.73	29.6658	2.04231
NR_155066	4938	4665.79	20.4793	0.741147
NR_155065	4942	4668.09	12.5229	0.452982
NR_155077	3919	4094.61	20.4937	0.845125
NR_155076	4090	4219.44	0	0
NR_155206	781	528.988	0	0
NR_155207	5422	5169.66	0	0
NM_028550	1689	1436.66	0	0
NM_001361899	3657	3103.01	0	0
NM_001361900	3640	3039.93	0	0
NM_001361930	1621	1368.66	0	0
NM_001361901	3678	3090.22	0	0
NR_155262	2642	1941.07	0	0
NR_029419	2764	2008.09	0	0
NR_148917	444	210.866	0	0
NR_154590	1565	1252.39	2	0.269652
NR_154987	2225	1972.66	0	0
NR_154989	3728	3705.08	4	0.182296
NM_001361966	5262	5221.06	16.9593	0.548484
NM_028705	4742	4605.35	256.56	9.40678
NM_001361967	3992	3737.17	2.48083	0.11209
NM_001033547	2055	1802.66	0	0
NM_177840	744	492.256	0	0
NM_001276448	824	571.862	0	0
NM_001361464	1952	2014.32	11.5776	0.970518
NM_001081065	1881	1879.71	0	0
NM_173773	1996	1743.66	0	0
NM_001361465	1980	2004.04	0	0
NM_001347040	1922	1974.55	29.4224	2.51608
NM_001001334	1651	1468.91	2	0.229906
NM_201530	918	665.706	0	0
NM_001362097	1296	1076.5	12.2051	1.91445
NM_199257	2549	2296.66	0	0
NM_001039231	2903	2370.94	10	0.712188
NM_001362105	3379	3126.66	0	0
NM_027526	3236	3110.74	3.46438	0.188052
