target_id	length	eff_length	est_counts	tpm
NR_046233	13400	18524.6	438.714	2.91066
NR_003279	4730	5928.7	13265.4	274.991
NR_003280	157	26.7497	80.3665	369.245
NR_015516	1571	1650.12	34.99	2.60607
NM_010646	870	584.744	1	0.210181
NM_001005418	336	143.498	0	0
NM_009485	3045	2829.69	0	0
NM_026939	1663	1689.89	137	9.9637
NM_001100416	2592	1975.28	155.371	9.66715
NM_011093	1838	1622.69	0	0
NM_023566	7368	7386.85	1	0.0166379
NR_102721	1452	1496.3	0	0
NM_024470	942	726.711	0	0
NR_137283	2414	2041.92	5.40994	0.325621
NM_001346422	3729	3513.69	0	0
NM_001033256	2326	2365.28	80	4.15686
NM_053251	1027	811.691	0	0
NR_002845	2001	1665.53	1	0.0737914
NR_003518	2866	2896.66	268.059	11.3734
NM_001004145	2870	2654.69	0	0
NM_053154	1119	903.691	0	0
NM_013794	1234	877.051	1	0.140131
NR_151500	1002	786.691	0	0
NM_001030293	4542	4326.69	0	0
NM_134105	1233	1057.35	12.2324	1.42184
NR_152187	2964	2748.69	0	0
NR_152263	1071	1067.59	2	0.230241
NM_207535	918	702.746	0	0
NM_207534	864	648.864	0	0
NM_007852	282	101.887	0	0
NM_011954	869	653.848	0	0
NM_172505	2214	2140.89	20.2737	1.16385
NR_153818	1059	843.691	0	0
NR_153811	1427	1211.69	0	0
NR_153412	4214	4406.36	199.555	5.56597
NM_001289428	3434	3172.63	39.7157	1.53852
NR_154462	2320	2253.26	9	0.490896
NR_004857	799	583.94	0	0
NM_172776	2269	2053.69	0	0
NM_001347175	3475	3505.53	24.6444	0.864018
NM_001361386	4080	4134.24	8.28147e-06	2.4619e-07
NM_001347067	4129	4217.78	0	0
NM_001347238	1853	1637.69	0	0
NM_030035	11025	10165	355	4.2922
NM_001356388	3524	3315.82	39.3696	1.45925
NM_001177538	2146	1930.69	0	0
NM_001039239	3114	2558.33	38.7863	1.86329
NM_001177539	2146	1930.69	0	0
NM_001024706	1004	788.691	0	0
NM_001361637	857	641.864	0	0
NM_001242945	2008	1641.16	14.3718	1.07626
NM_001024714	983	767.711	0	0
NM_001081406	1503	1287.69	0	0
NR_154591	2853	2895.21	32.3046	1.37133
NR_154887	1410	1194.69	0	0
NR_154886	1414	1367.59	0	0
NR_154985	5242	5026.69	0	0
NR_154990	720	505.337	0	0
NR_154992	1737	1812.11	0.134413	0.00911622
NR_155067	4696	4527.18	0	0
NR_155034	2502	2360.05	70.5416	3.67352
NR_155066	4938	4793.37	31.6138	0.810577
NR_155065	4942	4797.64	0	0
NR_155077	3919	3988.81	0	0
NR_155076	4090	4151.62	0	0
NR_155206	781	481.989	3	0.764967
NR_155207	5422	5752.12	0	0
NM_028550	1689	1473.69	0	0
NM_001361899	3657	3286.41	0	0
NM_001361900	3640	3239.42	12.871	0.488319
NM_001361930	1621	1405.69	0	0
NM_001361901	3678	3284.93	0	0
NR_155262	2642	2139.65	2.33833	0.134314
NR_029419	2764	2242.41	19.9226	1.09192
NR_148917	444	237.605	0	0
NR_154590	1565	1324.75	0	0
NR_154987	2225	2009.69	0	0
NR_154989	3728	3512.69	0	0
NM_001361966	5262	5204.59	85.5524	2.02024
NM_028705	4742	4601.63	322.369	8.60995
NM_001361967	3992	3807.93	6.07846	0.196184
NM_001033547	2055	1839.69	0	0
NM_177840	744	529.105	0	0
NM_001276448	824	608.911	0	0
NM_001361464	1952	1924.92	0	0
NM_001081065	1881	1864.98	14.4067	0.949397
NM_173773	1996	1780.69	0	0
NM_001361465	1980	1952.23	0	0
NM_001347040	1922	1911.47	32.5933	2.09566
NM_001001334	1651	1435.69	0	0
NM_201530	918	702.746	0	0
NM_001362097	1296	1083.1	14.0212	1.59102
NM_199257	2549	2333.69	0	0
NM_001039231	2903	2493.86	5	0.246409
NM_001362105	3379	3269.1	0	0
NM_027526	3236	3129.99	9.99972	0.392648
NM_001362103	3263	3161.49	0.000278674	1.08334e-05
NM_001316749	3217	3075.11	0	0
NM_001145637	1837	1621.69	0	0
NM_001362104	3315	3186.02	0	0
NM_001362093	2850	2286.4	48.7781	2.622
NM_001362121	2342	2126.69	0	0
NM_133913	3730	4105.11	85.2831	2.55327
NM_001362139	4389	4548.74	0.000584694	1.57978e-05
NM_001362140	4215	4372.69	30.6437	0.861293
NM_001362130	3218	2693.44	78.4481	3.57959
NM_178732	4342	4505.45	16.3557	0.44616
NM_001362150	1334	1118.69	0	0
NM_053217	3367	2820.2	0	0
NM_030735	1234	1018.69	0	0
NM_001362181	2447	1888.88	72.0812	4.69004
NR_155015	1430	1292.42	24.4453	2.32461
NR_151447	1741	1605.64	9.47894	0.725556
NR_155284	2591	2163.9	0	0
NR_155270	610	396.558	0	0
NR_155285	2681	2259.63	6.0255	0.327729
NR_155281	1298	937.639	17.5622	2.30199
NR_155292	2935	2632.42	37.8846	1.76875
NR_155435	3333	2779.52	21.4932	0.950364
NR_029830	86	13.7905	0	0
NR_030420	96	12.3801	0	0
NR_030523	98	12.352	0	0
NR_029974	85	14.1368	0	0
NR_030549	79	16.4537	0	0
NR_131196	677	462.687	0	0
NR_155267	2222	2188.96	10.0371	0.563544
NR_155275	732	557.337	1.00048	0.220622
NR_155279	574	361.404	0	0
NR_155282	351	155.762	1	0.789035
NR_155271	1115	899.691	0	0
NR_155277	732	483.543	10	2.54169
NR_155278	686	471.617	0	0
NR_155274	911	745.664	0	0
NR_155283	1335	1119.69	0	0
NR_155276	736	485.593	0	0
NR_155272	3290	3074.69	0	0
NR_155280	273	95.4065	0	0
NR_155268	1812	1734.99	0	0
NR_155289	1215	1021.34	21	2.527
NR_155290	734	519.183	0	0
NR_155291	525	314.128	0	0
NR_155293	1667	1451.69	0	0
NR_155305	1684	1386.25	4	0.354631
NR_155304	1024	808.691	0	0
NR_155298	740	525.144	0	0
NR_155295	1472	1323.57	1029	95.5494
NR_155294	1187	971.691	0	0
NR_155296	1504	1288.69	0	0
NR_155301	663	448.824	0	0
NR_155347	1797	1677.62	10	0.732595
NR_155302	4617	4168.24	2.00054	0.0589866
NR_155418	469	260.927	0	0
NR_155352	638	424.064	0	0
NR_155349	1064	848.691	0	0
NR_155422	978	762.711	0	0
NR_155430	2765	2299.29	2	0.106904
NR_155354	1136	920.691	0	0
NR_155419	1059	843.691	0	0
NR_155351	478	269.495	0	0
NR_155429	2733	2517.69	0	0
NR_155425	452	244.998	0	0
NR_155350	879	663.831	0	0
NR_155420	1110	895.06	2	0.274623
NR_155353	711	541.278	11	2.49765
NR_155428	2918	2702.69	0	0
NR_155423	329	137.874	0	0
NR_155355	3124	2976.56	11	0.454189
NR_033147	2357	2344.08	11.2702	0.590905
NR_155452	2010	1847.8	44.1999	2.93985
NR_155450	2104	1947.11	7.10891	0.448715
NR_155451	2243	2097.55	0	0
NR_155439	670	455.768	0	0
NR_155457	1410	1194.69	0	0
NR_155445	1030	814.691	0	0
NR_155449	1008	792.691	0	0
